restaurant_id,restaurant_name,city,opening_hours
81,Coastal Thali House,Kolkata,8:00 AM - 10:00 PM
82,The Golden Corner,Bengaluru,10:00 AM - 11:00 PM
83,Rivaaz,Mumbai,12:00 PM - 12:00 AM
84,Kesar Tiffin,Indore,11:00 AM - 11:00 PM
85,Moonlight Kitchen,Lucknow,12:00 PM - 11:00 PM
86,Regal Nawab Express,Bengaluru,9:00 AM - 10:00 PM
87,Kebab Trail,Chandigarh,10:00 AM - 11:00 PM
88,The Tehzeeb Point,Delhi,8:00 AM - 10:00 PM
89,Emerald Bistro,Delhi,12:00 PM - 12:00 AM
90,Isha's Bistro,Lucknow,9:00 AM - 10:00 PM
91,The Bombay Bistro,Kolkata,8:00 AM - 10:00 PM
92,Karan's Thali House,Jaipur,11:00 AM - 11:00 PM
93,Banyan Bombay Deck,Surat,8:00 AM - 10:00 PM
94,Marigold Diner,Chennai,12:00 PM - 11:00 PM
95,Nandini's Platter,Ahmedabad,11:00 AM - 11:00 PM
96,Bay Leaf Tiffin,Ahmedabad,12:00 PM - 12:00 AM
97,Manoj's Bakehouse,Delhi,12:00 PM - 12:00 AM
98,Malabar Junction,Chennai,10:00 AM - 11:00 PM
99,Manoj's Deck,Bhopal,10:00 AM - 11:00 PM
100,Chatkara,Bengaluru,12:00 PM - 11:00 PM
101,Green Cafe,Lucknow,11:30 AM - 11:30 PM
102,Clove Brew House,Surat,11:30 AM - 11:30 PM
103,Rajesh's Kitchen & Bar,Bhopal,8:00 AM - 10:00 PM
104,Mysore Saffron Terrace,Chennai,9:00 AM - 10:00 PM
105,Manoj's House,Bengaluru,11:00 AM - 11:00 PM
106,Emerald Deck,Hyderabad,8:00 AM - 10:00 PM
107,Old Town Tiffin,Surat,8:00 AM - 10:00 PM
108,Silver Eatery,Ahmedabad,11:00 AM - 11:00 PM
109,Bawarchi Feast,Surat,12:00 PM - 11:00 PM
110,Neha's Bakehouse,Mumbai,11:00 AM - 11:00 PM
111,Handi Saffron Brew House,Bengaluru,8:00 AM - 10:00 PM
112,The Skyline Thali House,Indore,12:00 PM - 11:00 PM
113,Suresh's Grill,Delhi,9:00 AM - 10:00 PM
114,Copper Kitchens,Mumbai,11:30 AM - 11:30 PM
115,Vikram's Express,Jaipur,10:00 AM - 11:00 PM
116,Sanjay's Hub,Mumbai,11:00 AM - 11:00 PM
117,Vikram's Deck,Bhopal,11:00 AM - 11:00 PM
118,Dilli Coastal Roastery,Surat,9:00 AM - 10:00 PM
119,White Restro,Bhopal,11:30 AM - 11:30 PM
120,Regal Corner,Indore,10:00 AM - 11:00 PM
121,The Swaad Lounge,Nagpur,11:30 AM - 11:30 PM
122,Mysore Tiffin,Mumbai,10:00 AM - 11:00 PM
123,Suresh's Lounge,Nagpur,8:00 AM - 10:00 PM
124,Sunrise Bakes,Bengaluru,11:30 AM - 11:30 PM
125,Divya's Point,Chandigarh,9:00 AM - 10:00 PM
126,Chai New Town Hub,Hyderabad,11:30 AM - 11:30 PM
127,Nandini's House,Chennai,11:30 AM - 11:30 PM
128,Elaichi,Mumbai,8:00 AM - 10:00 PM
129,Chatpata Ginger Thali House,Pune,11:00 AM - 11:00 PM
130,Banyan Lotus Tiffin,Pune,8:00 AM - 10:00 PM
131,Peshawri,Surat,11:30 AM - 11:30 PM
132,The White Dining,Mumbai,9:00 AM - 10:00 PM
133,Silver Heritage Corner,Lucknow,11:00 AM - 11:00 PM
134,The Copper Table,Lucknow,12:00 PM - 11:00 PM
135,Vaango Sapphire Hub,Kolkata,12:00 PM - 12:00 AM
136,The Nawab Eatery,Kolkata,12:00 PM - 12:00 AM
137,Sapphire Masala Brew House,Mumbai,8:00 AM - 10:00 PM
138,White Grill,Jaipur,11:30 AM - 11:30 PM
139,Vintage Old Town Roastery,Pune,12:00 PM - 11:00 PM
140,Nandini's Feast,Lucknow,11:00 AM - 11:00 PM
141,Ramesh's House,Jaipur,11:00 AM - 11:00 PM
142,Regal Lotus Bakes,Kolkata,8:00 AM - 10:00 PM
143,Regal Curry House,Bengaluru,10:00 AM - 11:00 PM
144,Pooja's Kitchens,Surat,8:00 AM - 10:00 PM
145,The Rasoi Bakehouse,Lucknow,11:00 AM - 11:00 PM
146,Bamboo Starlit Tiffin,Chandigarh,9:00 AM - 10:00 PM
147,Vikram's Bistro,Hyderabad,12:00 PM - 11:00 PM
148,The Spice Deck,Surat,11:00 AM - 11:00 PM
149,Karahi Amber Eatery,Ahmedabad,8:00 AM - 10:00 PM
150,Sanjay's Bakehouse,Ahmedabad,11:30 AM - 11:30 PM
151,Skyline Deck,Chennai,12:00 PM - 12:00 AM
152,Papad,Delhi,11:30 AM - 11:30 PM
153,Clove Hub,Hyderabad,11:30 AM - 11:30 PM
154,Poha Point,Mumbai,9:00 AM - 10:00 PM
155,Skyline Kesar Lounge,Lucknow,11:30 AM - 11:30 PM
156,The Skyline Express,Kolkata,8:00 AM - 10:00 PM
157,Blue Terrace,Indore,8:00 AM - 10:00 PM
158,Chutney,Kolkata,10:00 AM - 11:00 PM
159,Vaango Dining,Bhopal,11:30 AM - 11:30 PM
160,Peepal Malabar Express,Hyderabad,10:00 AM - 11:00 PM
161,Vada Pav Corner,Mumbai,12:00 PM - 12:00 AM
162,Golden Riverside Cafe,Ahmedabad,10:00 AM - 11:00 PM
163,The Turmeric Kitchen,Jaipur,12:00 PM - 12:00 AM
164,Vaango Bakehouse,Lucknow,11:30 AM - 11:30 PM
165,The Mysore Terrace,Chandigarh,12:00 PM - 12:00 AM
166,Namak,Indore,11:30 AM - 11:30 PM
167,Amit's Courtyard,Chennai,11:30 AM - 11:30 PM
168,Rangrezz,Nagpur,11:30 AM - 11:30 PM
169,Ramesh's Tiffin,Surat,10:00 AM - 11:00 PM
170,The Copper Restro,Delhi,8:00 AM - 10:00 PM
171,The Tawa Terrace,Chennai,11:00 AM - 11:00 PM
172,Silver Thali House,Delhi,10:00 AM - 11:00 PM
173,The Nawab Point,Kolkata,8:00 AM - 10:00 PM
174,The Handi Lounge,Delhi,12:00 PM - 11:00 PM
175,Rajesh's Bakehouse,Jaipur,12:00 PM - 11:00 PM
176,The Angeethi Junction,Hyderabad,11:30 AM - 11:30 PM
177,The Khazana Tiffin,Bhopal,11:30 AM - 11:30 PM
178,Vaango Terrace,Chandigarh,11:30 AM - 11:30 PM
179,Silver Feast,Ahmedabad,9:00 AM - 10:00 PM
180,Karan's Courtyard,Nagpur,12:00 PM - 11:00 PM
181,Vikram's Terrace,Indore,8:00 AM - 10:00 PM
182,Urban Cafe,Bhopal,10:00 AM - 11:00 PM
183,Green Tiffin,Chennai,12:00 PM - 11:00 PM
184,Ginger Food Co,Kolkata,11:00 AM - 11:00 PM
185,Zaika Junction,Chandigarh,12:00 PM - 11:00 PM
186,Junoon,Jaipur,9:00 AM - 10:00 PM
187,The Starlit Tiffin,Lucknow,8:00 AM - 10:00 PM
188,The Tandoor Platter,Surat,12:00 PM - 11:00 PM
189,Moonlight Andaz Kitchen,Bengaluru,9:00 AM - 10:00 PM
190,Skyline Starlit Platter,Pune,10:00 AM - 11:00 PM
191,Zaika Karahi Kitchens,Pune,11:30 AM - 11:30 PM
192,The Sapphire Courtyard,Nagpur,11:30 AM - 11:30 PM
193,Rasoi Courtyard,Chandigarh,9:00 AM - 10:00 PM
194,Red Brew House,Indore,12:00 PM - 12:00 AM
195,Amit's Kitchens,Hyderabad,8:00 AM - 10:00 PM
196,Maharaja Thali House,Nagpur,9:00 AM - 10:00 PM
197,Karahi Kitchen,Chandigarh,9:00 AM - 10:00 PM
198,Masala Malabar Roastery,Hyderabad,10:00 AM - 11:00 PM
199,Tadka,Lucknow,10:00 AM - 11:00 PM
200,Blue Hub,Nagpur,11:00 AM - 11:00 PM
